PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
702,19.70%,12.40%,0.266,2.2,20.40%,38.20%,41.40%,12.30%,21.50%,16.80%,45.70%,37.60%,42.70%,24.40%,63.70%,60.50%,85.40%,-13.1,42,0.263,0.357,0.529,0.373,135,-2.1,3.9
550,10.90%,6.20%,0.177,2.5,23.10%,44.00%,32.90%,10.10%,11.50%,15.30%,53.10%,31.60%,54.90%,40.90%,73.20%,75.00%,92.10%,-3.3,17,0.319,0.364,0.496,0.373,122,-3,2.6
178,29.80%,10.70%,0.268,1.4,21.90%,26.70%,51.40%,11.10%,20.40%,14.30%,41.00%,44.80%,45.70%,26.90%,65.10%,58.40%,82.30%,-4.5,11,0.261,0.343,0.529,0.372,137,-0.2,0.9
590,14.60%,12.20%,0.242,1.9,15.60%,41.50%,42.90%,12.50%,16.30%,13.50%,46.90%,39.60%,48.40%,34.30%,64.90%,67.30%,87.60%,-7,30,0.274,0.363,0.516,0.372,126,0.2,3.3
443,12.40%,6.80%,0.2,2.7,18.40%,48.60%,33.10%,0.00%,15.40%,11.60%,55.10%,33.30%,46.40%,26.30%,65.50%,72.70%,87.00%,8,18,0.305,0.357,0.505,0.371,134,-1.2,4
694,19.30%,12.10%,0.231,2.7,19.00%,40.70%,40.30%,12.80%,18.20%,14.70%,47.60%,37.70%,46.50%,30.10%,67.10%,60.40%,85.60%,-20.7,34,0.276,0.372,0.507,0.371,125,-10.8,1.3
637,20.10%,11.50%,0.259,1.7,21.20%,34.30%,44.50%,7.30%,19.70%,13.10%,47.50%,39.40%,43.00%,27.20%,63.30%,65.20%,87.20%,-9.7,38,0.27,0.355,0.529,0.371,132,-3.2,3.4
337,17.20%,11.00%,0.186,2.3,23.20%,42.20%,34.60%,6.10%,13.40%,15.50%,53.10%,31.40%,43.70%,28.00%,60.00%,60.50%,86.30%,-6.3,11,0.287,0.372,0.473,0.371,124,0.7,1.5
712,11.90%,10.70%,0.199,2.6,19.20%,43.20%,37.60%,9.20%,11.20%,13.90%,56.90%,29.20%,47.70%,35.40%,61.70%,77.00%,91.40%,-13.9,23,0.3,0.374,0.499,0.371,128,-1.7,3.3
302,17.90%,11.30%,0.205,2.2,19.00%,43.10%,37.90%,11.30%,16.30%,15.60%,49.80%,34.60%,45.00%,25.00%,65.80%,48.70%,87.10%,-3.6,13,0.288,0.374,0.492,0.371,136,0.2,2
598,13.90%,9.40%,0.188,0.8,22.30%,41.20%,36.50%,7.30%,15.80%,13.10%,59.30%,27.70%,43.90%,25.00%,61.40%,65.80%,88.00%,-16.6,26,0.298,0.371,0.486,0.371,132,-6.9,2
688,14.40%,14.40%,0.239,3.5,16.00%,42.80%,41.20%,10.90%,16.90%,17.80%,45.90%,36.30%,39.10%,21.00%,59.40%,64.90%,88.60%,-12.5,34,0.259,0.366,0.498,0.37,131,-0.9,3.7
491,14.50%,12.00%,0.164,1.3,27.10%,35.20%,37.70%,8.10%,10.40%,16.20%,53.60%,30.20%,41.10%,22.30%,60.40%,83.30%,90.80%,-2.7,14,0.302,0.385,0.466,0.37,120,-1.6,2.3
700,20.30%,10.60%,0.231,1.8,20.40%,43.10%,36.60%,5.20%,20.70%,10.10%,53.30%,36.70%,47.10%,31.70%,65.80%,58.70%,84.80%,-13.7,36,0.279,0.361,0.51,0.369,131,-4.6,3.1
505,27.70%,9.90%,0.267,4.5,18.10%,30.10%,51.80%,8.80%,18.80%,11.70%,48.50%,39.80%,49.80%,32.50%,70.10%,49.00%,82.30%,-18,30,0.256,0.337,0.522,0.369,137,-0.9,2.1
712,17.10%,13.10%,0.225,2,19.00%,35.50%,45.50%,13.60%,15.00%,18.00%,44.60%,37.40%,42.30%,27.80%,58.50%,68.30%,92.00%,-13.6,33,0.256,0.365,0.481,0.369,128,-1.2,3.4
672,15.30%,8.60%,0.191,2,18.30%,47.30%,34.40%,8.00%,12.00%,12.00%,57.00%,31.00%,42.90%,27.90%,58.90%,69.40%,90.10%,-17,21,0.301,0.362,0.492,0.369,122,-7.7,1.7
551,29.60%,13.60%,0.271,4.6,20.30%,38.40%,41.30%,4.00%,24.60%,16.00%,42.50%,41.50%,43.20%,28.20%,61.70%,51.50%,81.20%,-12,31,0.247,0.359,0.518,0.369,124,-1.7,2.1
260,31.90%,15.00%,0.275,1.4,20.30%,34.10%,45.70%,9.50%,25.40%,15.20%,50.70%,34.10%,42.80%,21.50%,65.10%,38.80%,75.30%,-9.3,16,0.239,0.35,0.514,0.369,137,-0.3,1.1
347,16.40%,9.50%,0.189,3.5,22.50%,34.10%,43.40%,8.30%,9.30%,18.00%,54.40%,27.60%,43.30%,26.80%,62.00%,64.90%,89.30%,-15.7,10,0.292,0.37,0.482,0.368,136,-1.8,0.8
521,19.80%,9.80%,0.209,2.4,21.30%,45.90%,32.80%,6.70%,19.20%,13.10%,46.70%,40.20%,41.10%,29.20%,55.20%,67.50%,87.10%,-15.5,23,0.288,0.357,0.497,0.368,132,-6.1,1.6
620,25.30%,9.50%,0.229,3.7,23.20%,39.60%,37.10%,1.40%,21.10%,10.10%,49.20%,40.70%,47.20%,31.60%,68.00%,46.10%,81.80%,-23.2,31,0.276,0.353,0.505,0.368,127,-7.2,1
505,29.50%,11.50%,0.269,3,17.50%,32.50%,50.00%,3.50%,21.70%,18.30%,50.50%,31.10%,48.40%,27.80%,73.60%,44.80%,75.90%,-7.2,31,0.251,0.347,0.52,0.368,126,0.3,2.7
271,15.90%,8.10%,0.166,5.6,22.00%,42.00%,36.10%,12.20%,6.80%,23.40%,51.70%,24.90%,45.00%,24.80%,63.80%,63.90%,86.30%,-2.6,5,0.312,0.369,0.478,0.368,140,1.3,2.1
700,28.40%,11.60%,0.292,3.4,22.30%,41.50%,36.20%,2.00%,31.80%,8.40%,45.30%,46.30%,48.20%,31.30%,70.40%,49.50%,78.00%,-12.4,48,0.251,0.339,0.543,0.368,120,0.4,2.9
254,11.40%,8.30%,0.14,5.9,22.90%,41.80%,35.30%,8.50%,2.80%,15.30%,53.20%,31.50%,39.50%,24.70%,54.50%,76.50%,93.80%,-3.6,2,0.32,0.377,0.461,0.367,123,-0.7,1.1
620,19.40%,9.70%,0.219,3.7,18.80%,48.40%,32.90%,12.00%,21.10%,22.60%,40.20%,37.20%,46.80%,31.70%,65.20%,61.00%,87.20%,-14.5,30,0.286,0.361,0.505,0.367,128,-1.4,2.7
578,32.40%,12.60%,0.223,3,24.40%,36.90%,38.80%,9.10%,19.00%,11.20%,47.40%,41.40%,41.50%,24.30%,58.80%,55.30%,73.40%,-0.6,23,0.259,0.36,0.482,0.367,128,-1.2,3.9
541,17.40%,6.30%,0.194,1.9,18.60%,37.70%,43.80%,8.10%,12.20%,24.40%,43.50%,32.10%,48.90%,27.90%,68.40%,69.80%,85.30%,-21.6,21,0.289,0.359,0.483,0.367,124,-8.9,0.5
508,8.50%,10.40%,0.172,3,16.00%,50.60%,33.30%,11.10%,8.10%,19.10%,50.50%,30.40%,43.80%,29.30%,60.60%,76.50%,93.70%,3.4,11,0.296,0.372,0.467,0.367,123,-8.1,2.7
521,22.60%,13.10%,0.235,2.4,22.80%,33.90%,43.20%,8.30%,19.40%,13.20%,50.80%,36.00%,47.00%,27.40%,70.50%,51.50%,87.20%,-12,28,0.266,0.365,0.501,0.366,132,-2.5,2.4
568,11.60%,10.70%,0.142,2.8,23.30%,43.60%,33.00%,2.80%,8.40%,14.10%,52.90%,33.00%,44.20%,24.60%,65.40%,74.90%,89.30%,5.8,12,0.32,0.4,0.462,0.366,128,-1.8,4.3
686,18.10%,10.50%,0.247,2.1,24.50%,41.60%,33.90%,11.70%,23.30%,13.30%,51.00%,35.70%,50.20%,36.00%,68.90%,66.80%,81.30%,-15.7,38,0.271,0.353,0.518,0.366,123,-1.6,2.4
319,25.10%,7.20%,0.22,1.8,19.40%,44.40%,36.10%,2.60%,21.80%,11.10%,48.60%,40.30%,43.90%,31.80%,61.20%,58.70%,90.20%,-5.6,17,0.284,0.335,0.503,0.365,135,-2.4,1.5
477,10.50%,11.10%,0.183,2.4,19.80%,37.50%,42.70%,10.20%,9.60%,18.70%,47.00%,34.30%,41.50%,23.40%,59.50%,70.00%,91.70%,-11.4,15,0.284,0.368,0.467,0.365,112,-0.8,1.1
571,21.90%,9.10%,0.193,4.6,24.30%,34.40%,41.30%,5.60%,10.60%,14.70%,48.50%,36.90%,50.90%,30.30%,75.70%,62.50%,88.10%,-5,17,0.289,0.36,0.481,0.365,140,2.5,4.4
500,19.00%,14.80%,0.201,1.5,20.20%,42.30%,37.50%,4.00%,12.90%,12.10%,55.90%,32.00%,38.10%,18.50%,58.40%,51.60%,89.50%,-7.1,16,0.265,0.372,0.466,0.364,119,-1.8,2
481,20.40%,11.60%,0.195,2.6,27.80%,36.60%,35.60%,6.10%,15.80%,10.60%,50.90%,38.40%,49.40%,29.40%,75.10%,66.60%,82.50%,-3.9,18,0.276,0.37,0.471,0.364,132,2.8,3.4
532,36.80%,14.10%,0.327,5.5,17.90%,27.90%,54.20%,11.80%,30.10%,14.70%,38.90%,46.40%,47.00%,32.50%,70.10%,39.50%,73.40%,-9.6,41,0.209,0.333,0.537,0.364,123,4.6,2.9
563,17.80%,7.10%,0.142,3.3,26.90%,45.00%,28.10%,3.40%,11.20%,10.90%,56.20%,32.90%,45.40%,30.80%,60.90%,67.30%,90.10%,-9.1,13,0.315,0.373,0.457,0.363,134,-6.1,2.5
623,8.30%,9.00%,0.153,2.1,22.30%,43.90%,33.80%,6.90%,11.00%,16.60%,48.60%,34.80%,47.80%,28.90%,68.40%,77.80%,92.60%,8.2,19,0.318,0.379,0.47,0.363,135,-1.8,5.4
342,29.80%,9.60%,0.24,3.5,24.40%,39.80%,35.80%,6.90%,25.00%,15.40%,41.60%,43.10%,47.70%,29.60%,66.90%,43.10%,77.60%,-3.6,18,0.27,0.349,0.51,0.363,128,-1.1,1.8
587,22.10%,10.20%,0.204,5.1,23.90%,40.20%,35.90%,7.10%,14.20%,10.90%,50.10%,38.90%,43.90%,26.60%,62.30%,65.10%,82.70%,-11.5,20,0.286,0.359,0.49,0.363,124,5.1,3
624,22.60%,12.30%,0.201,1.7,22.30%,38.80%,39.00%,9.00%,15.40%,12.40%,52.20%,35.30%,41.20%,21.60%,63.10%,49.80%,86.30%,-3.4,24,0.272,0.364,0.473,0.363,128,0.5,4
621,14.30%,9.30%,0.212,2.3,18.50%,35.80%,45.70%,8.00%,13.20%,11.90%,54.50%,33.60%,42.30%,25.10%,58.20%,65.50%,89.80%,-9.3,28,0.277,0.353,0.489,0.363,115,-6.4,1.8
301,15.60%,9.30%,0.21,2.2,17.70%,46.00%,36.30%,7.30%,17.10%,13.70%,46.90%,39.40%,45.10%,32.90%,59.40%,74.20%,89.60%,-7.4,14,0.303,0.362,0.513,0.363,122,-1.3,0.9
601,24.80%,13.50%,0.27,2.4,20.50%,33.30%,46.20%,8.90%,22.50%,17.50%,45.10%,37.40%,46.10%,29.20%,67.20%,58.40%,82.10%,-9.9,38,0.246,0.353,0.516,0.363,130,0,3.3
612,10.00%,9.60%,0.146,5.5,21.60%,39.90%,38.50%,11.40%,6.50%,17.40%,54.20%,28.40%,43.00%,23.90%,62.20%,68.30%,94.30%,-4.2,12,0.3,0.376,0.446,0.363,113,3,2.9
659,19.90%,15.20%,0.193,2.7,17.50%,36.90%,45.60%,9.50%,11.60%,18.20%,48.10%,33.70%,37.80%,19.60%,58.70%,53.40%,85.30%,-5.2,22,0.262,0.381,0.455,0.362,122,4.6,4
154,9.10%,2.60%,0.145,3.1,25.90%,45.20%,28.90%,12.80%,7.70%,12.60%,56.30%,31.10%,64.60%,56.50%,74.60%,83.00%,93.00%,2.5,3,0.345,0.357,0.49,0.362,118,-1.9,0.9
596,22.70%,11.60%,0.228,2.2,20.40%,30.60%,49.00%,7.00%,16.00%,15.10%,43.60%,41.30%,40.70%,26.10%,57.70%,54.10%,85.90%,-11,30,0.253,0.349,0.481,0.361,135,-1.2,3.2
668,21.00%,5.80%,0.212,2.5,20.70%,47.30%,32.10%,10.50%,19.70%,16.90%,49.00%,34.20%,49.60%,37.40%,65.60%,59.70%,89.30%,-14.8,30,0.29,0.347,0.502,0.361,131,-1,3.2
720,19.40%,9.00%,0.22,2.6,19.40%,36.90%,43.70%,6.30%,13.50%,13.30%,50.00%,36.70%,49.80%,33.00%,67.90%,63.00%,83.00%,-16.7,30,0.282,0.347,0.502,0.361,123,1.1,2.9
684,16.10%,11.10%,0.246,2.9,18.30%,34.90%,46.80%,11.80%,17.10%,20.90%,48.90%,30.20%,41.70%,24.10%,61.80%,64.10%,90.40%,-2.1,39,0.248,0.341,0.494,0.361,124,0.9,4.3
171,26.90%,8.20%,0.25,3.7,21.80%,40.00%,38.20%,11.90%,23.80%,10.90%,56.40%,32.70%,50.00%,32.60%,69.20%,52.90%,81.20%,-4.4,10,0.263,0.327,0.513,0.361,127,-0.8,0.6
647,21.30%,10.40%,0.238,1.9,22.30%,33.60%,44.10%,11.30%,17.00%,12.70%,50.00%,37.30%,43.00%,26.30%,63.90%,58.20%,87.00%,-5.1,33,0.271,0.343,0.51,0.361,127,-1.3,3.6
622,20.10%,17.50%,0.209,3.1,22.30%,26.90%,50.80%,4.80%,12.20%,12.10%,45.70%,42.20%,33.90%,18.20%,51.20%,64.80%,89.20%,-9.8,23,0.241,0.384,0.451,0.361,123,0.4,2.9
281,14.20%,6.80%,0.221,3.3,21.40%,35.90%,42.70%,5.30%,12.80%,9.60%,58.60%,31.80%,48.10%,28.50%,69.00%,64.60%,90.90%,-6.9,12,0.287,0.338,0.508,0.361,116,-4.9,0.3
211,14.70%,5.70%,0.197,1.8,20.90%,47.90%,31.30%,2.00%,21.60%,12.30%,55.80%,31.90%,44.80%,28.20%,61.20%,58.60%,88.90%,0.2,11,0.29,0.346,0.487,0.36,128,1.3,1.6
670,11.30%,7.80%,0.231,3.4,18.80%,41.30%,39.90%,12.10%,14.00%,14.20%,52.30%,33.50%,47.10%,33.30%,61.70%,71.80%,91.50%,-6.5,30,0.285,0.343,0.516,0.36,133,-7.5,3.6
686,14.90%,16.00%,0.131,4.3,21.50%,39.30%,39.30%,10.10%,5.60%,17.60%,58.20%,24.20%,34.40%,13.30%,51.80%,79.40%,90.50%,0.4,10,0.273,0.393,0.405,0.36,126,2.3,4.9
698,17.00%,10.20%,0.172,4.3,21.50%,44.90%,33.70%,2.90%,11.70%,8.50%,55.90%,35.60%,42.80%,23.50%,63.60%,62.90%,86.60%,-5.9,20,0.291,0.361,0.462,0.36,111,-2.2,2.4
629,22.60%,11.00%,0.211,2.6,21.60%,35.00%,43.40%,7.20%,13.80%,12.70%,50.20%,37.10%,43.00%,25.00%,61.20%,57.80%,83.70%,-12.5,25,0.277,0.355,0.488,0.359,119,-1,2.1
556,26.40%,10.10%,0.197,5.3,28.70%,33.30%,37.90%,0.80%,13.60%,11.50%,48.70%,39.80%,49.70%,29.90%,74.60%,63.80%,79.90%,-1.2,18,0.28,0.356,0.478,0.359,132,1.5,4.1
554,24.90%,11.90%,0.242,1.5,22.00%,27.40%,50.60%,7.60%,15.90%,11.30%,49.70%,39.00%,42.20%,28.00%,61.20%,56.00%,89.50%,-10,27,0.244,0.352,0.486,0.359,132,0.1,3
636,16.00%,12.30%,0.231,1,17.40%,38.00%,44.60%,9.90%,15.30%,16.80%,47.70%,35.50%,41.50%,25.20%,57.00%,76.30%,85.90%,-11.5,31,0.259,0.351,0.49,0.359,114,-6.1,1.5
272,18.00%,17.30%,0.155,1.9,26.70%,40.70%,32.60%,1.80%,10.70%,13.30%,54.30%,32.40%,39.60%,21.00%,61.00%,65.40%,88.50%,-3.7,6,0.255,0.39,0.409,0.359,128,-3.8,1
712,16.40%,10.50%,0.178,1.5,22.90%,40.90%,36.20%,13.50%,13.50%,16.80%,48.90%,34.30%,45.10%,29.70%,63.10%,61.40%,87.10%,-17.7,25,0.279,0.362,0.457,0.358,126,-5.1,2.3
622,24.30%,7.10%,0.237,4.9,19.30%,40.10%,40.60%,4.80%,18.10%,11.30%,50.50%,38.20%,44.30%,28.60%,62.50%,52.00%,82.10%,-16.3,30,0.27,0.334,0.507,0.358,122,-0.7,2
554,22.00%,9.70%,0.23,2.9,20.50%,37.00%,42.60%,6.30%,15.60%,9.80%,55.30%,34.80%,44.00%,26.80%,63.40%,66.80%,87.30%,-14.1,25,0.27,0.341,0.5,0.358,116,-1.8,1.3
593,29.50%,11.60%,0.219,2.7,21.60%,42.10%,36.30%,10.30%,23.80%,19.00%,46.60%,34.50%,44.70%,27.80%,64.10%,48.00%,77.50%,-11.6,30,0.267,0.352,0.487,0.357,104,-2.7,0.8
173,20.80%,14.50%,0.214,2.9,22.50%,39.60%,37.80%,9.50%,21.40%,11.70%,47.80%,40.50%,46.30%,31.10%,62.40%,65.10%,90.10%,-3.1,9,0.255,0.364,0.469,0.357,115,0.7,0.7
228,18.00%,9.20%,0.138,3.4,25.80%,26.50%,47.70%,13.90%,6.90%,20.30%,46.40%,33.30%,49.50%,38.20%,63.60%,76.20%,89.30%,-11.8,5,0.286,0.388,0.423,0.357,112,1.8,0.1
586,18.40%,14.00%,0.196,2.5,22.10%,36.60%,41.20%,4.90%,16.00%,11.40%,51.30%,37.30%,40.40%,22.50%,60.40%,63.10%,88.00%,-15.4,26,0.259,0.362,0.455,0.356,127,-5.6,1.6
606,26.60%,16.70%,0.237,3,15.50%,37.30%,47.30%,9.60%,17.90%,17.10%,40.60%,42.40%,44.30%,24.20%,69.50%,45.70%,80.40%,-11.2,28,0.225,0.357,0.462,0.356,121,1.2,2.5
353,12.70%,10.20%,0.164,2.4,17.90%,43.30%,38.80%,6.70%,10.60%,19.00%,53.20%,27.90%,46.00%,30.30%,65.00%,81.80%,90.40%,-1.1,11,0.289,0.366,0.453,0.356,112,2.6,1.8
482,25.10%,6.40%,0.196,2.2,21.80%,45.20%,33.00%,7.50%,15.10%,17.80%,50.20%,32.10%,52.60%,37.00%,72.00%,61.90%,82.80%,-18,16,0.279,0.336,0.475,0.355,132,-6.2,0.8
644,26.70%,11.60%,0.235,2.3,20.80%,40.30%,39.00%,2.60%,21.70%,13.60%,50.30%,36.20%,46.60%,30.60%,66.90%,50.00%,78.20%,-13.8,33,0.253,0.346,0.488,0.355,124,-8.2,1.6
340,18.50%,10.00%,0.169,4.5,23.80%,40.20%,36.00%,3.50%,7.00%,7.90%,57.90%,34.20%,41.10%,23.20%,58.80%,68.30%,88.50%,-7.8,6,0.294,0.365,0.463,0.355,124,1.6,1.5
667,16.20%,9.10%,0.162,4.9,23.60%,52.00%,24.40%,10.10%,15.10%,18.00%,49.10%,32.90%,45.70%,33.30%,63.20%,66.10%,91.70%,-11,18,0.297,0.363,0.459,0.355,124,3.1,3.5
643,16.60%,9.60%,0.205,1.2,26.00%,37.30%,36.70%,7.00%,16.40%,14.60%,49.50%,36.00%,50.40%,34.60%,69.10%,65.40%,88.80%,-7.5,28,0.275,0.35,0.48,0.354,129,-5.6,3
293,31.10%,11.30%,0.211,1.2,18.50%,40.70%,40.70%,4.50%,21.20%,8.60%,54.90%,36.40%,41.60%,25.10%,58.90%,49.00%,82.30%,-12.9,14,0.247,0.348,0.458,0.354,125,-1.6,0.3
423,9.90%,5.70%,0.128,3.7,21.90%,47.00%,31.10%,9.20%,5.50%,24.00%,50.60%,25.40%,45.80%,29.10%,63.90%,80.90%,93.90%,0.9,6,0.32,0.362,0.448,0.354,126,-2.5,2.6
465,22.20%,7.70%,0.225,4.7,22.40%,32.90%,44.70%,11.10%,13.20%,13.00%,56.70%,30.30%,49.80%,34.70%,67.90%,66.60%,79.80%,-3.5,19,0.273,0.331,0.498,0.354,121,2.1,2.6
169,20.10%,8.90%,0.145,3.5,16.10%,54.20%,29.70%,5.70%,11.40%,15.30%,48.30%,36.40%,41.00%,26.50%,57.50%,60.80%,88.60%,-3.2,4,0.296,0.367,0.441,0.354,122,0.6,0.8
563,11.70%,8.50%,0.116,2.1,18.30%,55.80%,25.90%,11.50%,8.80%,24.90%,53.30%,21.70%,41.20%,24.80%,58.10%,74.20%,93.20%,-9.7,10,0.306,0.378,0.422,0.354,127,-4.5,2.3
660,18.80%,17.10%,0.196,2.1,19.50%,40.10%,40.40%,14.90%,16.10%,20.00%,45.00%,35.00%,37.40%,19.60%,57.40%,62.00%,87.80%,-14.6,27,0.231,0.365,0.427,0.353,126,-1.7,2.6
668,13.60%,9.60%,0.22,2.7,15.90%,44.70%,39.40%,10.50%,15.50%,16.70%,45.10%,38.20%,49.30%,36.40%,63.50%,70.10%,90.70%,-9.8,31,0.271,0.343,0.492,0.353,115,-3.2,2.2
182,13.70%,7.10%,0.149,3.4,19.00%,47.90%,33.10%,6.40%,6.40%,14.70%,49.70%,35.70%,52.90%,41.30%,68.10%,72.00%,89.40%,-3.7,3,0.31,0.363,0.458,0.353,109,0.9,0.5
500,26.60%,15.60%,0.171,1.8,18.90%,45.30%,35.80%,7.80%,16.70%,17.50%,46.00%,36.50%,39.90%,21.50%,59.40%,60.70%,79.20%,-4,17,0.248,0.37,0.419,0.353,123,-3.1,2.4
180,15.60%,15.60%,0.12,0.6,17.10%,57.70%,25.20%,3.20%,12.90%,9.80%,56.90%,33.30%,48.40%,29.30%,71.50%,65.10%,87.00%,-7.1,4,0.28,0.394,0.4,0.353,112,-4.3,-0.3
177,32.20%,13.60%,0.27,1.7,14.60%,37.50%,47.90%,6.50%,21.70%,22.90%,35.40%,41.70%,40.90%,27.00%,58.30%,56.60%,79.60%,-3.7,10,0.23,0.333,0.5,0.352,119,-0.7,0.6
177,29.90%,11.30%,0.224,6.5,21.20%,42.30%,36.50%,2.60%,21.10%,16.40%,48.10%,35.60%,40.80%,24.30%,58.40%,62.60%,74.30%,-3.9,8,0.25,0.333,0.474,0.352,118,1.1,0.7
515,20.00%,6.40%,0.242,3.9,18.50%,39.80%,41.70%,6.30%,17.10%,14.00%,51.20%,34.80%,50.80%,34.30%,71.20%,68.00%,81.10%,-15.1,27,0.274,0.317,0.516,0.352,124,-0.6,1.6
451,23.10%,14.60%,0.228,4.2,23.40%,29.70%,46.90%,11.70%,14.10%,14.00%,47.70%,38.40%,45.50%,25.40%,69.00%,62.70%,81.90%,-1.6,18,0.241,0.355,0.469,0.352,119,-0.8,2.3
562,30.10%,6.60%,0.231,2,23.20%,39.30%,37.50%,3.10%,25.20%,8.90%,56.50%,34.70%,54.30%,39.90%,72.80%,55.40%,82.20%,-10.5,33,0.27,0.326,0.501,0.352,121,-1.7,2.1
660,17.00%,8.50%,0.206,1.8,23.70%,38.40%,37.80%,3.80%,14.60%,12.50%,48.80%,38.80%,51.20%,35.90%,68.70%,68.80%,87.50%,-6,27,0.276,0.335,0.482,0.351,129,-2.1,3.6
584,16.30%,8.20%,0.176,4.6,17.80%,48.50%,33.60%,10.90%,13.60%,27.50%,47.10%,25.40%,45.40%,32.00%,58.40%,66.90%,90.80%,-8.3,20,0.284,0.346,0.459,0.351,120,-1,2.4
658,20.20%,14.70%,0.217,3.3,15.40%,44.70%,40.00%,17.20%,16.00%,25.10%,43.70%,31.20%,37.60%,19.20%,56.10%,58.40%,84.10%,-5.9,27,0.239,0.351,0.457,0.351,124,-2.4,3.3
311,30.20%,8.00%,0.24,2.8,21.30%,41.00%,37.80%,7.00%,22.50%,15.40%,39.40%,45.20%,46.50%,32.80%,63.00%,52.80%,79.30%,-5.2,16,0.265,0.331,0.505,0.351,112,-0.4,0.9
572,17.50%,11.50%,0.183,1.3,18.80%,46.20%,35.10%,7.00%,14.10%,14.80%,47.90%,37.30%,45.20%,35.80%,57.20%,71.40%,88.20%,-6.3,20,0.277,0.36,0.46,0.351,120,-3.1,2.3
428,30.60%,10.70%,0.25,1.6,13.00%,34.60%,52.40%,10.10%,19.40%,19.40%,46.80%,33.90%,48.50%,28.50%,71.70%,43.70%,77.80%,-4.7,25,0.237,0.323,0.487,0.35,122,-1.1,2.1
667,14.10%,13.20%,0.196,4,20.00%,40.80%,39.30%,13.40%,12.30%,18.40%,48.60%,33.00%,40.00%,21.60%,60.10%,67.60%,87.90%,-7.3,23,0.259,0.363,0.455,0.35,117,0.8,3
660,21.10%,7.90%,0.186,4.6,21.70%,41.20%,37.10%,8.80%,17.00%,16.90%,48.90%,34.20%,47.90%,32.30%,66.90%,61.90%,82.00%,3.4,29,0.273,0.336,0.459,0.35,122,4.7,4.8
192,13.00%,13.50%,0.144,3.7,20.40%,31.40%,48.20%,4.50%,4.50%,10.10%,61.90%,28.10%,38.70%,14.80%,59.40%,82.80%,88.80%,-1.3,3,0.269,0.372,0.413,0.35,113,-1,0.7
620,31.60%,12.10%,0.262,3.4,13.20%,39.00%,47.80%,11.00%,22.70%,24.00%,43.60%,32.50%,46.60%,26.10%,67.40%,46.10%,72.00%,-29.6,37,0.221,0.323,0.483,0.35,116,-1.6,0.1
680,14.70%,7.50%,0.146,4.5,22.40%,52.70%,24.90%,6.90%,13.00%,14.20%,49.10%,36.70%,47.30%,34.80%,63.10%,70.70%,89.00%,-9.4,17,0.302,0.353,0.448,0.35,120,0.9,3.2
562,16.70%,13.50%,0.166,2.1,19.50%,29.20%,51.30%,13.70%,8.60%,21.90%,44.50%,33.60%,42.10%,26.90%,58.60%,68.80%,89.40%,-17.7,17,0.254,0.365,0.42,0.349,110,-2.5,0.6
417,30.00%,13.40%,0.241,3.2,19.20%,39.70%,41.00%,7.40%,25.50%,10.50%,55.90%,33.60%,40.60%,21.00%,60.60%,59.80%,74.80%,-1.3,24,0.227,0.343,0.469,0.349,116,-1,2
586,23.70%,5.60%,0.195,3.2,19.40%,51.00%,29.70%,7.40%,19.80%,19.60%,46.30%,34.10%,51.00%,36.10%,70.00%,59.40%,81.80%,-13.9,24,0.293,0.338,0.488,0.349,117,-0.4,1.8
368,16.80%,7.30%,0.178,2.5,24.40%,45.50%,30.20%,7.20%,18.10%,10.10%,57.60%,32.30%,50.50%,35.40%,68.40%,63.50%,91.40%,0.5,15,0.285,0.342,0.463,0.349,117,-1.7,1.8
597,13.90%,11.10%,0.112,2.4,24.90%,51.50%,23.60%,2.90%,6.70%,12.80%,50.80%,36.40%,36.50%,23.60%,49.40%,78.50%,93.60%,-3.2,7,0.305,0.384,0.417,0.349,116,-6.2,2.3
695,18.00%,6.80%,0.175,1.3,21.30%,45.50%,33.30%,11.20%,14.80%,20.30%,47.10%,32.70%,51.50%,40.60%,66.20%,64.20%,88.60%,-17.3,25,0.293,0.353,0.468,0.349,120,-5.7,1.8
441,25.40%,9.50%,0.168,2.1,25.80%,41.70%,32.50%,16.30%,15.20%,20.50%,50.50%,29.00%,46.20%,28.30%,65.70%,54.30%,84.30%,-9.7,14,0.282,0.356,0.45,0.349,101,-2.7,0.2
248,23.00%,7.30%,0.217,1.6,19.90%,37.40%,42.70%,9.60%,17.80%,20.50%,50.30%,29.20%,46.40%,34.70%,59.50%,69.50%,87.80%,0.6,13,0.27,0.327,0.487,0.348,118,0.9,1.6
361,13.90%,16.90%,0.124,1,23.40%,38.30%,38.30%,7.40%,7.40%,14.10%,57.00%,28.90%,41.30%,23.70%,60.80%,89.60%,88.90%,-2.3,7,0.264,0.391,0.388,0.348,101,-3.6,0.6
515,21.70%,6.20%,0.204,1.5,19.80%,45.60%,34.60%,11.10%,18.30%,14.60%,49.50%,36.00%,47.10%,31.30%,64.70%,56.80%,87.00%,-4.9,23,0.278,0.33,0.482,0.348,117,-0.7,2.2
