PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
615,17.70%,12.40%,0.273,2.6,19.20%,35.10%,45.70%,4.60%,17.90%,11.50%,52.20%,36.30%,43.00%,25.10%,60.90%,64.30%,85.70%,-4.4,35,0.306,0.393,0.579,0.413,150,-0.9,5.2
622,21.10%,8.20%,0.264,2.9,23.30%,45.50%,31.20%,8.20%,26.90%,17.00%,46.60%,36.40%,54.40%,41.20%,72.60%,55.10%,86.50%,-14.4,36,0.317,0.383,0.581,0.411,167,-2.9,5.3
216,27.80%,10.20%,0.392,0.7,15.90%,38.10%,46.00%,10.30%,41.40%,17.80%,41.90%,40.30%,44.90%,27.90%,66.80%,59.40%,75.70%,-2.5,24,0.259,0.352,0.651,0.411,162,-1.8,2
692,15.30%,15.50%,0.267,1.9,19.80%,43.10%,37.10%,6.30%,21.80%,18.60%,47.30%,34.10%,44.00%,29.10%,62.50%,63.80%,90.30%,-17.3,38,0.299,0.415,0.566,0.41,160,-7.6,4.7
685,13.60%,14.20%,0.244,2.2,20.70%,42.80%,36.50%,7.90%,18.50%,13.90%,47.10%,38.90%,39.20%,23.90%,57.90%,68.30%,91.50%,1.7,33,0.308,0.41,0.552,0.41,152,0.7,6.9
152,29.60%,11.20%,0.344,0.7,21.80%,27.60%,50.60%,2.30%,29.50%,18.40%,40.20%,41.40%,43.50%,27.40%,60.00%,50.60%,85.00%,-2,13,0.26,0.355,0.603,0.408,146,0.2,1.2
715,16.60%,10.30%,0.21,3,21.20%,46.70%,32.10%,5.50%,16.40%,18.40%,50.20%,31.40%,48.30%,34.70%,65.30%,70.80%,89.00%,-0.2,27,0.338,0.41,0.548,0.407,155,-10.7,6.1
575,19.50%,12.50%,0.257,2.1,19.80%,39.30%,40.90%,8.90%,19.10%,12.50%,41.40%,46.10%,39.70%,23.90%,57.80%,60.00%,87.00%,-10.7,30,0.306,0.4,0.563,0.407,146,2.5,4.4
514,18.50%,12.60%,0.28,4.3,24.50%,34.90%,40.60%,0.00%,19.90%,12.40%,50.10%,37.50%,52.90%,35.80%,79.00%,67.00%,83.10%,-6.4,28,0.307,0.403,0.586,0.407,152,0.7,4.5
621,17.40%,10.00%,0.257,3.4,22.10%,33.70%,44.20%,2.60%,14.90%,9.80%,58.10%,32.10%,41.80%,24.30%,56.90%,68.80%,90.60%,2.5,29,0.312,0.39,0.569,0.406,146,2.4,6.1
719,17.90%,15.30%,0.222,3.6,27.50%,39.10%,33.40%,0.60%,18.20%,14.50%,51.10%,34.50%,42.60%,25.00%,64.20%,66.50%,84.80%,-5.2,29,0.309,0.416,0.531,0.406,157,-4,6.4
383,19.80%,10.40%,0.263,3.4,19.40%,35.00%,45.60%,9.20%,17.50%,15.20%,50.20%,34.60%,46.80%,27.50%,67.00%,54.90%,85.70%,5.4,21,0.293,0.373,0.556,0.404,161,1,4.9
710,20.40%,13.90%,0.249,4.3,21.00%,44.40%,34.60%,3.80%,22.50%,9.30%,49.10%,41.60%,41.60%,22.40%,61.80%,66.60%,84.20%,-7,36,0.302,0.401,0.551,0.404,156,-1.1,6.2
681,16.00%,17.50%,0.274,2,20.60%,39.00%,40.40%,5.00%,22.20%,10.00%,53.10%,36.80%,44.20%,26.00%,67.20%,63.80%,85.10%,-5.1,40,0.277,0.407,0.551,0.404,156,-5.8,5.8
479,23.00%,13.40%,0.241,4.3,22.40%,44.80%,32.80%,3.10%,19.40%,10.00%,45.80%,44.20%,39.30%,24.50%,57.20%,68.00%,79.90%,-7.3,19,0.3,0.396,0.542,0.402,154,3.3,4.3
707,16.10%,11.50%,0.273,3.3,19.80%,36.40%,43.80%,9.60%,17.80%,15.40%,48.20%,36.40%,40.80%,25.70%,57.10%,68.50%,90.70%,-11,39,0.292,0.383,0.565,0.402,142,0.7,5.1
685,15.60%,9.90%,0.223,2.7,20.00%,43.20%,36.80%,8.10%,18.30%,13.90%,48.70%,37.40%,50.50%,34.10%,68.10%,65.50%,89.30%,-6.7,34,0.324,0.396,0.547,0.402,143,-3.5,5
296,30.40%,8.80%,0.306,2.3,21.50%,32.80%,45.80%,8.60%,25.90%,14.70%,48.60%,36.70%,50.60%,32.10%,70.70%,46.70%,76.60%,-8.8,21,0.291,0.358,0.596,0.402,160,0.7,2.3
693,24.70%,12.80%,0.267,4.8,29.10%,30.30%,40.50%,5.30%,19.90%,12.50%,44.00%,43.50%,52.50%,33.60%,77.30%,64.00%,77.70%,-7.7,34,0.302,0.4,0.569,0.402,152,1.1,6.1
133,17.30%,16.50%,0.2,1,21.60%,39.80%,38.60%,5.90%,8.80%,21.60%,37.50%,40.90%,45.10%,31.40%,67.10%,58.10%,89.50%,-1.9,3,0.327,0.436,0.527,0.401,137,0,0.9
682,10.90%,17.00%,0.174,1.9,24.10%,39.60%,36.30%,5.60%,9.60%,13.70%,47.60%,38.80%,41.30%,23.50%,60.50%,88.20%,95.10%,-2.2,17,0.32,0.434,0.494,0.401,133,-6.7,4.2
665,22.10%,14.10%,0.265,5.6,18.80%,46.30%,34.90%,8.30%,24.80%,11.30%,44.30%,44.30%,41.00%,24.90%,60.10%,64.30%,80.20%,-7.6,36,0.297,0.404,0.563,0.4,142,3.3,5.3
726,19.00%,18.60%,0.186,3.5,27.20%,43.70%,29.20%,0.80%,18.30%,9.80%,52.60%,37.60%,39.80%,20.10%,62.20%,67.60%,86.00%,-10.1,24,0.305,0.435,0.491,0.4,155,-1,6
679,17.10%,11.00%,0.247,1.3,22.70%,41.70%,35.50%,4.70%,22.10%,9.70%,49.20%,41.10%,49.60%,33.50%,69.30%,67.30%,86.20%,-8.4,38,0.316,0.393,0.563,0.399,152,-10,4.8
690,12.20%,12.30%,0.215,1.7,25.40%,41.30%,33.30%,11.30%,17.90%,12.30%,52.40%,35.30%,44.00%,28.10%,62.50%,66.30%,88.10%,-12.3,30,0.313,0.412,0.528,0.398,153,-7.4,4.8
648,30.70%,16.50%,0.316,1.6,24.30%,31.50%,44.20%,2.70%,31.50%,8.90%,35.90%,55.20%,45.50%,32.30%,64.10%,48.60%,79.40%,-13.8,47,0.268,0.392,0.584,0.397,135,-5.9,3.1
616,18.80%,11.90%,0.24,3.1,22.10%,36.10%,41.80%,5.90%,18.80%,15.80%,52.70%,31.60%,43.80%,30.70%,60.40%,63.60%,89.80%,-3.8,32,0.286,0.386,0.527,0.397,155,-0.6,5.7
644,14.60%,13.00%,0.277,3.6,17.60%,33.00%,49.50%,12.00%,18.70%,13.90%,49.90%,36.30%,41.00%,21.40%,59.70%,68.70%,86.80%,-21.5,42,0.28,0.384,0.557,0.396,150,2.9,4.3
668,26.50%,17.40%,0.262,0.8,20.50%,31.00%,48.50%,7.80%,21.10%,15.40%,48.30%,36.40%,40.20%,23.20%,60.10%,54.20%,83.20%,-44.8,38,0.267,0.398,0.529,0.395,142,-0.7,1.1
112,17.90%,10.70%,0.223,3.2,19.70%,39.50%,40.80%,3.20%,12.90%,13.20%,57.90%,29.00%,47.90%,33.60%,66.90%,62.30%,87.00%,-4.8,4,0.298,0.393,0.521,0.395,145,-0.9,0.4
183,23.00%,10.90%,0.197,3,24.10%,34.50%,41.40%,10.40%,14.60%,9.50%,50.00%,40.50%,42.90%,25.70%,57.90%,44.40%,81.40%,-3.1,7,0.306,0.399,0.503,0.394,138,-0.4,1.2
650,17.50%,10.90%,0.196,3.1,20.60%,41.20%,38.20%,5.70%,12.60%,12.10%,48.70%,39.30%,39.80%,24.70%,56.90%,68.60%,86.00%,-11,22,0.317,0.4,0.513,0.394,132,-4.3,3.3
645,11.30%,13.80%,0.164,2.2,24.70%,39.70%,35.60%,5.30%,8.80%,9.80%,62.20%,28.10%,41.00%,24.20%,58.90%,85.50%,91.40%,-10,15,0.325,0.416,0.489,0.394,131,-9,2.7
358,21.20%,11.20%,0.274,4.4,18.30%,40.40%,41.30%,5.10%,21.20%,13.70%,50.60%,35.70%,47.50%,32.10%,66.30%,66.10%,84.30%,-5,21,0.293,0.372,0.567,0.393,142,2,2.7
149,20.80%,11.40%,0.24,2.7,17.00%,42.00%,41.00%,7.30%,17.10%,22.00%,47.00%,31.00%,42.40%,25.20%,61.90%,65.80%,83.70%,-0.7,7,0.302,0.383,0.543,0.392,153,-0.7,1.3
703,26.50%,10.70%,0.292,4.7,23.20%,36.20%,40.60%,0.60%,25.40%,7.30%,47.00%,45.60%,48.80%,32.80%,71.20%,48.60%,80.00%,-11.5,45,0.279,0.36,0.571,0.392,139,-0.2,4.5
375,12.80%,7.50%,0.206,2.8,21.50%,42.10%,36.40%,13.00%,13.90%,18.80%,45.00%,36.20%,46.90%,33.60%,62.20%,78.00%,92.20%,-11,15,0.331,0.381,0.538,0.392,137,-0.8,1.8
624,15.70%,12.30%,0.28,2.4,19.30%,36.10%,44.50%,17.90%,19.90%,20.20%,43.90%,35.90%,43.50%,27.00%,62.70%,65.20%,85.00%,-11.7,39,0.277,0.372,0.557,0.392,150,-2.2,4.5
676,16.00%,10.90%,0.252,3.2,20.30%,38.40%,41.30%,8.60%,16.20%,16.70%,49.00%,34.30%,45.30%,32.20%,62.60%,69.40%,91.20%,-5.8,32,0.292,0.385,0.544,0.391,144,-2.8,5.1
575,21.90%,6.30%,0.247,1.8,19.50%,44.00%,36.50%,4.80%,21.20%,20.00%,44.30%,35.80%,51.50%,35.40%,68.80%,62.60%,84.10%,-20.6,31,0.303,0.36,0.55,0.39,148,-2.1,2.9
670,31.00%,12.50%,0.3,1.9,24.70%,31.80%,43.50%,3.80%,29.40%,9.70%,48.90%,41.40%,47.50%,32.60%,67.50%,50.70%,77.60%,-5.5,47,0.262,0.361,0.562,0.39,149,-0.5,5.7
175,27.40%,10.30%,0.266,2.3,17.80%,48.60%,33.60%,8.30%,30.60%,15.90%,40.20%,43.90%,43.20%,28.60%,59.80%,59.30%,84.90%,-7.6,11,0.279,0.36,0.545,0.389,143,-2.3,0.5
542,15.10%,11.40%,0.279,3,16.40%,36.40%,47.20%,13.90%,18.20%,15.40%,46.50%,38.10%,42.90%,26.50%,61.60%,67.40%,89.10%,-15.8,34,0.268,0.354,0.547,0.389,151,0.5,3.6
405,16.30%,10.90%,0.261,2.9,17.70%,39.90%,42.30%,8.10%,16.90%,16.00%,45.10%,38.90%,43.40%,25.60%,62.60%,63.20%,87.50%,-16.3,21,0.289,0.368,0.549,0.388,137,-2.2,1.4
621,10.00%,13.20%,0.262,3.8,21.60%,35.10%,43.30%,9.30%,17.60%,14.20%,49.30%,36.60%,41.30%,24.80%,60.20%,72.00%,90.20%,-15.9,36,0.272,0.37,0.534,0.388,146,0,4
576,21.90%,7.60%,0.269,2.2,19.90%,46.40%,33.70%,8.80%,26.50%,14.10%,45.40%,40.50%,44.30%,31.90%,59.80%,65.40%,84.90%,-15.3,36,0.303,0.358,0.573,0.387,138,1.9,3.3
563,17.40%,17.20%,0.235,3.1,18.00%,42.90%,39.10%,7.70%,17.50%,10.70%,53.60%,35.80%,41.10%,21.00%,64.20%,59.50%,88.40%,-13.8,25,0.274,0.399,0.509,0.387,138,-4.3,2.7
622,18.80%,7.40%,0.263,2.8,16.80%,42.00%,41.10%,6.40%,18.10%,8.50%,53.60%,37.90%,45.30%,32.00%,60.30%,66.80%,87.60%,-5.3,34,0.306,0.355,0.569,0.387,136,-7.5,3.7
