PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing% (pi),O-Swing% (pi),Z-Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
563,9.80%,8.00%,0.186,3.4,24.80%,40.00%,35.20%,7.50%,13.80%,10.70%,57.60%,31.70%,51.40%,31.00%,72.80%,76.90%,89.10%,20.2,22,0.315,0.373,0.501,0.375,138,-5.1,6.1
672,11.00%,11.20%,0.177,2.1,21.20%,43.50%,35.40%,7.10%,12.50%,11.90%,58.30%,29.80%,38.90%,24.00%,55.30%,79.70%,93.30%,-4.4,23,0.303,0.381,0.48,0.375,126,-2.1,3.8
157,24.80%,6.40%,0.271,1.5,17.80%,36.40%,45.80%,10.20%,22.40%,18.70%,39.30%,42.10%,37.40%,18.50%,56.10%,58.30%,83.80%,0.8,11,0.285,0.331,0.556,0.375,126,-3.1,0.8
266,13.50%,8.60%,0.192,1.2,25.40%,41.00%,33.70%,7.20%,18.80%,18.50%,52.20%,29.30%,45.60%,27.40%,64.90%,53.30%,91.70%,2.5,13,0.3,0.365,0.492,0.374,139,-2.8,2.1
645,11.80%,9.60%,0.205,1.1,20.10%,41.60%,38.20%,5.80%,13.20%,11.90%,49.90%,38.20%,44.60%,29.00%,60.90%,78.50%,90.00%,12.7,25,0.301,0.374,0.505,0.373,129,-2.5,5.4
563,21.50%,11.00%,0.219,1.9,21.00%,37.70%,41.40%,6.40%,14.70%,13.00%,51.90%,35.20%,42.10%,23.00%,61.70%,47.00%,84.50%,7.7,23,0.285,0.364,0.504,0.373,120,-2.9,3.7
112,18.80%,10.70%,0.29,2.7,21.50%,21.50%,57.00%,17.80%,17.80%,29.10%,48.10%,22.80%,45.10%,25.40%,62.10%,50.00%,89.00%,4.3,8,0.25,0.33,0.54,0.372,132,-1.6,1.1
309,12.60%,5.50%,0.254,1.1,18.50%,34.90%,46.60%,15.30%,17.10%,20.00%,46.70%,33.30%,52.80%,36.90%,69.80%,75.00%,90.20%,6.5,19,0.283,0.351,0.536,0.372,129,-0.9,2.7
361,14.10%,15.50%,0.18,4.6,25.40%,46.40%,28.20%,7.10%,14.30%,13.70%,56.60%,29.70%,38.20%,21.10%,55.30%,68.90%,90.90%,-5.1,10,0.276,0.394,0.456,0.372,143,0.3,2.6
443,12.40%,6.80%,0.2,2.7,18.40%,48.60%,33.10%,0.00%,15.40%,11.60%,55.10%,33.30%,46.40%,26.30%,65.50%,72.70%,87.00%,8,18,0.305,0.357,0.505,0.371,134,-1.2,4
403,33.00%,8.90%,0.256,2.2,18.60%,38.20%,43.20%,9.50%,22.10%,13.50%,53.80%,32.70%,47.00%,28.70%,65.60%,46.00%,72.90%,2,21,0.261,0.348,0.517,0.371,128,0.5,3
605,11.40%,7.80%,0.179,2,24.30%,41.90%,33.80%,2.40%,13.40%,14.00%,51.40%,34.60%,44.70%,28.60%,62.40%,75.90%,91.60%,7,22,0.311,0.364,0.49,0.371,142,-3.4,5.5
460,17.00%,12.80%,0.14,1.9,19.30%,49.00%,31.70%,9.30%,11.30%,18.50%,49.70%,31.80%,41.00%,21.80%,60.30%,59.60%,87.40%,14.9,11,0.29,0.402,0.43,0.37,140,-4.3,4.9
114,28.90%,2.60%,0.196,0.9,16.20%,52.70%,31.10%,4.30%,21.70%,21.60%,54.10%,24.30%,61.90%,47.90%,79.30%,48.10%,77.50%,0.6,5,0.318,0.36,0.514,0.369,127,-1.8,0.6
243,8.60%,13.60%,0.128,0.9,20.80%,48.10%,31.10%,12.30%,8.80%,17.80%,54.60%,27.60%,34.00%,16.00%,50.00%,79.50%,96.50%,6.5,5,0.3,0.405,0.429,0.369,126,-1.8,2.1
309,25.60%,11.00%,0.251,3.7,13.60%,40.20%,46.20%,15.30%,20.00%,16.70%,47.90%,35.50%,43.40%,27.40%,63.00%,56.80%,77.70%,4.7,17,0.255,0.36,0.506,0.369,127,-2.1,2.3
465,11.80%,4.90%,0.183,2.8,23.40%,41.50%,35.20%,6.70%,11.20%,11.80%,56.70%,31.50%,48.20%,32.70%,66.00%,64.70%,91.80%,2.9,15,0.318,0.357,0.501,0.369,123,-1.8,3
620,14.40%,10.80%,0.176,5.2,17.50%,48.40%,34.10%,11.50%,12.20%,20.60%,46.40%,33.00%,39.50%,20.20%,59.00%,66.10%,85.70%,17.5,19,0.293,0.374,0.469,0.369,122,0.7,5.5
433,12.50%,12.70%,0.146,1.6,20.10%,45.00%,34.90%,7.20%,7.20%,14.80%,54.40%,30.80%,39.40%,22.10%,55.80%,72.50%,93.10%,15.5,8,0.302,0.4,0.447,0.368,127,-1.5,4.3
655,10.80%,10.10%,0.164,2.9,22.30%,42.10%,35.70%,7.10%,7.10%,17.40%,47.90%,34.70%,41.90%,27.70%,55.30%,78.10%,92.30%,14.6,13,0.301,0.373,0.465,0.368,133,-1.7,6.2
525,22.90%,7.60%,0.253,2.6,21.10%,42.30%,36.60%,10.80%,25.40%,18.60%,44.50%,36.90%,48.00%,36.30%,63.20%,60.90%,83.80%,8.6,33,0.278,0.345,0.531,0.368,130,-1.4,4.4
316,27.50%,11.70%,0.257,1,20.40%,37.10%,42.50%,11.40%,21.50%,19.40%,45.20%,35.50%,44.30%,20.50%,66.50%,49.60%,82.00%,5.4,17,0.254,0.354,0.511,0.367,120,-1.9,2.2
233,20.60%,12.90%,0.147,1.5,24.70%,49.30%,26.00%,7.70%,12.80%,13.70%,61.40%,24.80%,43.10%,28.20%,60.10%,65.40%,89.60%,1.7,5,0.299,0.392,0.447,0.366,120,0.3,1.5
568,11.60%,10.70%,0.142,2.8,23.30%,43.60%,33.00%,2.80%,8.40%,14.10%,52.90%,33.00%,44.20%,24.60%,65.40%,74.90%,89.30%,5.8,12,0.32,0.4,0.462,0.366,128,-1.8,4.3
112,17.00%,5.40%,0.192,1.6,29.90%,27.60%,42.50%,8.10%,13.50%,12.60%,48.30%,39.10%,49.80%,31.40%,69.60%,74.20%,89.60%,1,5,0.308,0.339,0.5,0.365,134,-0.6,0.9
432,23.80%,9.30%,0.22,3.1,18.80%,38.30%,42.90%,9.90%,16.50%,15.60%,50.40%,34.00%,43.10%,24.40%,61.00%,60.60%,77.20%,-0.7,20,0.272,0.35,0.492,0.364,121,2,2.7
538,9.70%,7.40%,0.191,2.3,17.00%,41.00%,41.90%,8.60%,10.70%,16.10%,52.70%,31.20%,39.40%,25.80%,53.60%,84.50%,95.40%,4.3,20,0.302,0.351,0.493,0.364,122,-2.6,3.5
642,17.10%,14.50%,0.187,2.7,21.80%,42.50%,35.70%,9.70%,13.00%,15.40%,52.90%,31.70%,39.20%,21.80%,57.90%,63.40%,90.40%,-9.2,20,0.268,0.377,0.455,0.364,132,-1.8,3.6
273,28.20%,13.20%,0.241,4.7,17.30%,40.40%,42.30%,7.60%,24.20%,15.40%,44.90%,39.70%,44.50%,31.50%,61.90%,57.40%,74.50%,-3.4,16,0.246,0.355,0.487,0.364,131,2.5,1.8
236,14.80%,6.80%,0.174,1.3,20.80%,43.70%,35.50%,6.20%,12.30%,22.30%,44.00%,33.70%,41.40%,26.00%,58.50%,61.10%,92.20%,1.8,8,0.303,0.353,0.477,0.364,133,-3.8,1.5
573,22.70%,12.70%,0.152,2.1,20.90%,43.00%,36.00%,7.80%,11.60%,14.80%,54.20%,31.00%,46.90%,27.30%,68.40%,63.00%,80.70%,14.7,15,0.286,0.391,0.438,0.364,125,-6.1,4.5
623,8.30%,9.00%,0.153,2.1,22.30%,43.90%,33.80%,6.90%,11.00%,16.60%,48.60%,34.80%,47.80%,28.90%,68.40%,77.80%,92.60%,8.2,19,0.318,0.379,0.47,0.363,135,-1.8,5.4
283,23.70%,9.20%,0.206,2.9,17.90%,54.30%,27.70%,3.90%,23.50%,17.70%,50.00%,32.30%,47.50%,36.10%,63.10%,56.80%,81.10%,4.5,12,0.282,0.357,0.488,0.363,125,-1.2,2.2
158,12.70%,4.40%,0.142,3.5,29.20%,41.50%,29.20%,5.30%,7.90%,20.80%,55.40%,23.90%,52.80%,38.90%,66.40%,77.80%,88.40%,4.1,3,0.331,0.361,0.473,0.362,126,-2.6,1.2
541,10.20%,5.50%,0.158,2.5,24.30%,41.90%,33.80%,8.50%,7.80%,12.40%,53.20%,34.40%,53.50%,33.90%,73.20%,78.60%,91.20%,17.1,12,0.319,0.359,0.477,0.362,133,-2.3,5.5
283,23.30%,8.10%,0.167,2.9,24.70%,44.10%,31.20%,8.60%,12.10%,19.80%,49.00%,31.30%,43.10%,32.20%,56.70%,70.70%,90.50%,7.9,7,0.31,0.369,0.476,0.362,125,-1.2,2.5
154,9.10%,2.60%,0.145,3.1,25.90%,45.20%,28.90%,12.80%,7.70%,12.60%,56.30%,31.10%,64.60%,56.50%,74.60%,83.00%,93.00%,2.5,3,0.345,0.357,0.49,0.362,118,-1.9,0.9
428,22.90%,10.50%,0.223,2.4,17.40%,53.30%,29.30%,9.90%,25.90%,17.00%,47.50%,35.50%,47.30%,32.10%,65.00%,55.80%,80.10%,12.8,21,0.276,0.356,0.499,0.362,121,-6,3.2
376,31.90%,16.50%,0.183,1.8,27.60%,38.50%,33.90%,1.50%,21.50%,6.70%,44.60%,48.70%,36.80%,18.50%,53.40%,40.00%,73.70%,3.8,14,0.264,0.387,0.447,0.362,124,-2.6,2.5
566,17.30%,13.10%,0.184,2.4,20.20%,36.90%,42.90%,9.10%,12.80%,16.60%,44.20%,39.20%,43.80%,29.40%,60.90%,66.10%,88.00%,20.4,21,0.269,0.375,0.453,0.362,123,-6.4,4.9
544,18.40%,8.60%,0.208,4.3,24.20%,37.20%,38.70%,13.80%,15.80%,21.10%,43.50%,35.40%,43.20%,29.40%,57.10%,67.60%,89.40%,12.5,24,0.292,0.355,0.5,0.362,123,-0.7,4.6
491,26.50%,10.20%,0.209,2.9,25.20%,39.50%,35.30%,1.80%,16.50%,8.10%,54.70%,37.20%,45.20%,30.20%,62.50%,60.40%,78.80%,6.2,18,0.276,0.35,0.485,0.361,129,1.8,4.4
523,15.10%,6.70%,0.189,0.9,20.40%,54.30%,25.30%,5.80%,21.40%,17.90%,46.70%,35.40%,50.20%,31.60%,70.70%,64.50%,90.60%,8.4,22,0.307,0.354,0.496,0.361,124,-6.9,3.4
128,20.30%,7.00%,0.226,3.2,20.00%,42.20%,37.80%,11.80%,23.50%,16.10%,45.20%,38.70%,42.90%,23.50%,60.20%,50.00%,90.40%,3.8,8,0.278,0.328,0.504,0.361,120,0,1.2
112,19.60%,14.30%,0.156,2,21.70%,30.40%,47.80%,9.10%,6.10%,15.30%,45.80%,38.90%,36.40%,21.80%,52.30%,51.90%,85.20%,1,2,0.278,0.394,0.433,0.361,125,0.2,0.8
551,15.10%,8.90%,0.205,3.1,20.80%,38.20%,40.90%,8.40%,12.60%,13.50%,51.00%,35.50%,46.90%,31.30%,63.10%,71.30%,88.50%,11.7,21,0.281,0.349,0.486,0.359,119,-4.9,3.8
470,16.60%,8.10%,0.184,1.9,19.70%,43.90%,36.40%,8.70%,12.70%,12.50%,55.60%,31.90%,50.90%,34.20%,68.80%,73.30%,88.20%,4.5,16,0.294,0.355,0.478,0.359,113,0.3,2.7
322,20.80%,5.60%,0.188,4.6,17.80%,43.50%,38.70%,11.20%,12.40%,14.40%,53.50%,32.20%,48.70%,33.40%,64.50%,69.90%,85.40%,11.6,11,0.294,0.345,0.481,0.359,128,-1.6,3.3
