PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing% (pi),O-Swing% (pi),Z-Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
518,23.60%,13.70%,0.166,2.7,18.00%,42.00%,40.10%,13.40%,13.40%,14.20%,50.20%,35.70%,42.00%,27.00%,57.10%,59.60%,81.70%,7.1,17,0.255,0.367,0.421,0.345,105,-1.1,2.6
499,25.50%,8.60%,0.257,1.9,17.90%,41.00%,41.00%,11.30%,24.10%,17.60%,50.00%,32.40%,45.90%,32.40%,63.10%,61.80%,83.40%,-0.9,32,0.251,0.319,0.508,0.345,120,-2.1,2.6
580,11.90%,7.90%,0.175,5.1,22.80%,39.10%,38.00%,9.10%,10.30%,15.70%,47.80%,36.50%,43.20%,31.20%,54.80%,75.40%,94.20%,10.2,18,0.28,0.34,0.455,0.345,116,-6,3.4
133,27.10%,6.00%,0.195,3.3,22.10%,39.50%,38.40%,9.10%,12.10%,24.70%,50.60%,24.70%,48.70%,28.50%,68.60%,52.00%,85.60%,0.8,4,0.285,0.328,0.48,0.345,115,-1,0.7
609,16.60%,14.90%,0.168,2.6,19.10%,43.10%,37.80%,11.50%,11.50%,13.30%,56.30%,30.40%,38.90%,18.70%,58.40%,61.80%,84.50%,1.8,18,0.252,0.365,0.42,0.344,120,-8.1,2.9
365,26.60%,6.00%,0.208,1,24.40%,39.40%,36.20%,9.00%,22.50%,12.20%,48.80%,39.00%,43.30%,28.20%,58.40%,55.20%,86.10%,10.8,20,0.282,0.323,0.49,0.344,113,-2.3,2.7
373,24.40%,14.50%,0.141,3,20.50%,38.20%,41.40%,8.80%,7.70%,13.60%,55.90%,30.50%,43.90%,19.30%,66.90%,40.60%,82.60%,4.2,7,0.252,0.373,0.392,0.343,125,0.6,3
581,10.80%,6.70%,0.12,2.3,21.90%,48.40%,29.70%,5.00%,5.70%,15.60%,53.30%,31.10%,53.40%,38.20%,69.90%,82.60%,88.80%,4.7,8,0.307,0.36,0.427,0.342,114,-8.7,2.5
129,13.20%,5.40%,0.097,2.8,28.10%,37.50%,34.40%,6.10%,3.00%,18.80%,53.50%,27.70%,46.60%,31.90%,59.70%,81.40%,87.80%,-1.2,1,0.301,0.363,0.398,0.342,109,-0.7,0.4
442,19.50%,12.20%,0.132,2.3,18.70%,46.00%,35.30%,15.10%,9.40%,22.30%,47.80%,29.90%,39.90%,22.10%,58.00%,52.60%,92.40%,-0.6,10,0.27,0.361,0.403,0.341,123,-1.1,2.6
505,21.20%,12.90%,0.144,1.2,22.90%,44.50%,32.60%,4.80%,12.50%,14.40%,57.40%,28.20%,37.00%,21.80%,51.00%,68.30%,88.60%,10.3,13,0.27,0.373,0.414,0.341,117,-3.1,3.5
195,19.50%,12.30%,0.143,1.9,20.60%,39.70%,39.70%,3.80%,5.80%,7.60%,65.70%,26.70%,40.20%,21.50%,57.70%,52.80%,88.40%,-5.7,3,0.268,0.364,0.411,0.341,106,-2.2,0
614,11.10%,10.40%,0.147,4.1,21.50%,48.60%,29.90%,4.90%,9.80%,15.00%,48.90%,36.10%,47.10%,30.00%,66.10%,77.20%,91.90%,10.8,14,0.288,0.362,0.434,0.341,115,-3.1,4
510,26.90%,8.20%,0.23,3.2,19.70%,37.90%,42.30%,3.70%,19.30%,14.10%,49.10%,36.90%,44.00%,24.80%,62.60%,53.20%,76.60%,-1.2,26,0.238,0.316,0.468,0.341,115,-1.3,2.5
510,18.40%,9.00%,0.106,3.6,21.00%,52.10%,26.90%,3.10%,7.30%,15.80%,53.60%,30.70%,41.40%,24.30%,58.00%,71.00%,86.40%,9.3,7,0.295,0.37,0.401,0.341,117,-0.7,3.7
507,20.90%,10.50%,0.218,4,16.40%,50.60%,33.00%,18.90%,20.70%,16.80%,54.10%,29.10%,41.00%,22.40%,59.10%,53.90%,88.80%,12.2,23,0.24,0.329,0.458,0.34,115,-4.6,3.5
305,8.90%,3.90%,0.17,1.4,24.20%,44.20%,31.70%,8.30%,13.10%,12.50%,57.70%,29.80%,49.10%,37.30%,60.50%,84.90%,94.30%,11,11,0.301,0.328,0.471,0.34,114,-3.9,2.3
328,12.50%,7.00%,0.164,0.6,18.90%,52.10%,29.00%,9.30%,16.00%,25.10%,51.00%,23.90%,48.20%,33.10%,63.20%,68.50%,88.40%,6.3,12,0.282,0.341,0.446,0.34,112,-3.8,1.8
518,23.20%,4.60%,0.194,2.6,24.00%,36.70%,39.40%,9.60%,14.40%,16.40%,52.60%,31.00%,50.20%,33.90%,67.10%,61.80%,83.90%,12.4,21,0.278,0.313,0.472,0.34,117,0.9,4.4
551,15.20%,8.70%,0.188,2.2,17.70%,43.40%,38.80%,6.20%,13.60%,18.00%,54.70%,27.30%,47.20%,31.80%,66.30%,71.70%,88.40%,20.8,22,0.262,0.328,0.45,0.34,110,-3.3,4.4
404,9.70%,14.60%,0.115,5,16.70%,46.30%,37.00%,13.50%,4.50%,21.40%,52.30%,26.30%,32.90%,18.20%,46.90%,74.00%,94.20%,1.2,5,0.263,0.372,0.378,0.34,115,0.4,2.3
344,17.40%,8.10%,0.166,4.6,25.70%,36.50%,37.80%,6.40%,9.60%,14.90%,55.00%,30.10%,45.20%,26.20%,63.40%,58.30%,90.40%,-4.1,9,0.264,0.337,0.43,0.339,122,0.1,1.7
209,23.00%,17.70%,0.205,1.8,18.90%,45.10%,36.10%,6.80%,20.50%,16.10%,58.10%,25.80%,33.10%,16.80%,49.50%,62.80%,85.60%,1.2,9,0.211,0.351,0.415,0.339,113,-0.3,1.1
157,21.70%,7.00%,0.255,0.4,17.30%,41.80%,40.90%,20.00%,20.00%,20.90%,40.90%,38.20%,50.60%,36.20%,67.90%,64.90%,81.50%,6.3,9,0.248,0.306,0.504,0.339,112,-0.8,1.3
325,28.00%,8.90%,0.149,0.7,18.60%,42.30%,39.20%,5.30%,10.50%,12.90%,43.30%,43.80%,45.70%,26.80%,65.70%,49.40%,85.70%,-1.1,8,0.27,0.357,0.42,0.338,110,-2.7,1.1
296,16.20%,10.50%,0.156,1.7,17.80%,41.80%,40.40%,7.00%,9.30%,15.90%,58.90%,25.20%,41.10%,23.80%,56.90%,74.60%,91.40%,7.8,8,0.26,0.345,0.416,0.338,102,-0.5,1.8
379,10.30%,12.40%,0.171,2.5,18.70%,42.30%,39.10%,9.00%,8.10%,13.80%,59.20%,27.00%,40.00%,21.40%,56.50%,73.20%,94.40%,11.1,9,0.255,0.355,0.425,0.338,103,-1,2.4
170,25.90%,8.80%,0.259,2,14.40%,40.40%,45.20%,10.60%,19.10%,19.80%,40.60%,39.60%,44.40%,31.00%,59.90%,59.10%,80.80%,2.1,9,0.224,0.314,0.483,0.338,107,-1.2,0.8
380,17.60%,10.50%,0.181,1.1,15.30%,39.80%,44.80%,14.50%,11.10%,17.70%,48.50%,33.80%,37.00%,20.60%,53.20%,71.10%,86.90%,9.6,13,0.252,0.342,0.433,0.338,95,-3,1.6
192,33.90%,10.90%,0.262,0.1,18.20%,29.30%,52.50%,11.50%,23.10%,16.00%,49.00%,35.00%,46.50%,27.40%,68.30%,41.50%,75.60%,2.6,12,0.207,0.318,0.47,0.338,115,-0.8,1.2
303,13.90%,5.00%,0.199,0.9,19.50%,56.90%,23.60%,3.40%,27.60%,12.60%,46.80%,40.70%,53.90%,34.80%,73.90%,65.80%,88.70%,6.2,16,0.272,0.307,0.47,0.337,113,-5.5,1.5
443,13.10%,11.30%,0.118,2.2,18.30%,51.80%,29.90%,2.00%,5.00%,15.80%,55.50%,28.70%,43.90%,29.50%,58.60%,81.10%,92.50%,-1.2,5,0.285,0.364,0.404,0.337,108,-6.7,1.1
171,29.80%,9.40%,0.164,0.9,26.30%,28.40%,45.30%,9.30%,14.00%,21.40%,49.50%,29.10%,48.00%,27.00%,67.60%,48.30%,76.30%,7.4,6,0.263,0.333,0.428,0.337,113,-2.4,1.4
177,31.60%,6.20%,0.211,2.1,15.10%,46.20%,38.70%,7.30%,17.10%,11.00%,46.80%,42.20%,53.20%,34.50%,69.40%,52.50%,76.30%,5.6,7,0.261,0.31,0.472,0.337,104,-0.3,1.2
544,7.20%,9.20%,0.089,3.1,19.40%,50.80%,29.80%,4.50%,4.50%,12.50%,66.80%,20.70%,50.00%,26.90%,71.20%,78.00%,90.30%,19.2,6,0.293,0.366,0.383,0.336,106,-7.5,3.3
217,17.50%,14.70%,0.166,1.1,21.10%,43.70%,35.20%,2.00%,14.00%,19.90%,50.70%,29.50%,35.60%,16.50%,53.70%,71.60%,88.20%,5.2,7,0.238,0.355,0.403,0.336,116,-2.9,1.4
191,23.00%,7.90%,0.135,4,22.00%,43.30%,34.60%,2.30%,6.80%,19.90%,56.50%,23.70%,50.40%,34.90%,65.80%,56.80%,83.80%,1.3,3,0.281,0.342,0.415,0.335,108,-0.8,0.9
435,17.50%,8.70%,0.177,2,14.60%,49.80%,35.60%,7.10%,13.40%,21.60%,52.40%,26.00%,49.40%,33.70%,64.80%,65.60%,86.40%,10.4,15,0.267,0.334,0.445,0.335,111,-4.4,2.6
511,19.00%,11.00%,0.182,2.7,21.90%,37.60%,40.40%,4.90%,12.50%,14.60%,58.40%,27.00%,41.60%,30.70%,53.90%,70.40%,91.60%,0.4,18,0.261,0.341,0.443,0.335,114,-4.4,2.2
470,10.40%,7.20%,0.112,1.5,23.50%,46.40%,30.10%,14.00%,6.10%,18.00%,57.00%,25.00%,45.30%,27.20%,62.50%,76.30%,93.80%,10.6,7,0.295,0.349,0.407,0.335,105,-10.7,1.9
331,21.50%,8.80%,0.172,2.7,19.20%,37.60%,43.20%,8.10%,9.10%,16.60%,50.70%,32.80%,47.30%,29.10%,66.40%,68.90%,82.00%,2.8,9,0.266,0.332,0.438,0.335,100,-2.4,1.1
198,14.60%,9.60%,0.123,1.7,24.10%,41.80%,34.00%,6.30%,8.30%,23.50%,44.10%,32.40%,46.60%,34.90%,60.00%,65.20%,92.80%,1.8,4,0.269,0.357,0.392,0.335,98,-2.1,0.6
308,23.10%,12.00%,0.163,4.2,21.10%,35.60%,43.30%,16.70%,10.70%,16.80%,51.50%,31.60%,41.00%,21.80%,59.80%,57.50%,88.60%,3.2,9,0.246,0.345,0.409,0.335,114,2.2,2.2
185,16.20%,9.70%,0.105,3.4,18.00%,52.60%,29.30%,5.10%,10.30%,23.30%,53.40%,23.30%,39.90%,19.10%,58.30%,71.90%,87.40%,6.4,4,0.284,0.368,0.389,0.335,116,0,1.6
123,21.10%,8.10%,0.207,3.5,18.60%,51.20%,30.20%,11.50%,19.20%,23.00%,49.40%,27.60%,42.30%,26.30%,58.60%,62.90%,80.30%,1.1,5,0.252,0.311,0.459,0.335,109,0.5,0.7
426,21.60%,15.30%,0.169,1,17.10%,45.60%,37.30%,15.30%,16.30%,20.60%,49.40%,30.00%,38.90%,25.30%,55.60%,64.60%,86.80%,5.2,16,0.234,0.353,0.403,0.335,116,-4.7,2.3
202,27.20%,6.40%,0.237,4,18.20%,37.10%,44.70%,15.30%,13.60%,15.00%,54.90%,30.10%,54.10%,33.00%,76.20%,53.70%,75.70%,-1.4,8,0.247,0.299,0.484,0.335,99,-0.9,0.4
134,16.40%,10.40%,0.05,1.2,24.00%,49.00%,27.10%,0.00%,0.00%,11.20%,72.50%,16.30%,50.50%,34.90%,65.40%,79.60%,84.30%,-3.4,0,0.311,0.381,0.361,0.334,101,-0.3,0.1
416,30.30%,4.60%,0.241,5.6,14.40%,45.50%,40.20%,7.50%,21.70%,16.50%,53.80%,29.70%,57.00%,45.50%,71.50%,45.70%,79.40%,1.9,23,0.249,0.292,0.49,0.334,99,0.1,1.6
117,10.30%,9.40%,0.127,1.1,18.70%,48.40%,33.00%,6.70%,6.70%,11.00%,61.50%,27.50%,45.70%,27.40%,63.70%,73.00%,94.60%,2.4,2,0.265,0.35,0.392,0.334,104,-3,0.4
266,18.00%,9.40%,0.151,2.6,21.50%,39.30%,39.30%,8.00%,10.70%,11.90%,53.40%,34.70%,44.70%,23.80%,63.90%,62.80%,87.50%,5.7,8,0.272,0.34,0.423,0.334,99,-3,1.1
196,30.60%,9.20%,0.193,1.9,23.50%,33.90%,42.60%,10.20%,18.40%,11.00%,54.20%,34.80%,51.80%,29.30%,72.50%,54.70%,76.40%,6.1,9,0.256,0.321,0.449,0.334,109,-1,1.4
423,21.00%,9.70%,0.139,1.9,19.60%,49.10%,31.20%,4.50%,10.10%,15.60%,62.20%,22.20%,42.40%,25.90%,58.50%,62.70%,87.90%,1.1,9,0.271,0.349,0.41,0.334,99,-0.7,1.4
545,18.30%,5.10%,0.126,3.7,20.40%,49.30%,30.30%,16.00%,8.80%,21.10%,49.00%,29.90%,48.10%,32.60%,64.40%,69.00%,89.60%,10.3,11,0.303,0.343,0.428,0.333,109,1.2,3.5
436,8.50%,4.40%,0.13,1.7,24.70%,46.60%,28.70%,12.10%,8.40%,20.10%,53.90%,26.00%,54.30%,39.00%,73.00%,78.70%,92.60%,4.7,9,0.3,0.339,0.43,0.333,111,-4.7,2
141,16.30%,9.90%,0.091,2,21.60%,46.40%,32.00%,12.90%,3.20%,18.80%,58.40%,22.80%,41.20%,25.10%,58.00%,67.20%,88.50%,2.8,1,0.281,0.367,0.372,0.333,112,-1.3,0.8
472,10.20%,10.20%,0.1,2,21.00%,41.70%,37.30%,13.30%,4.40%,22.40%,50.80%,26.80%,42.50%,26.40%,58.10%,70.50%,93.20%,10.3,6,0.283,0.371,0.383,0.333,108,-1.3,3
528,18.60%,5.50%,0.186,1.7,22.40%,41.70%,35.90%,7.10%,12.80%,12.90%,54.80%,32.20%,48.20%,33.70%,63.50%,60.20%,88.00%,-7.8,18,0.275,0.32,0.461,0.332,109,-5.8,1
579,18.30%,6.20%,0.173,5,17.90%,47.80%,34.30%,5.40%,11.60%,14.90%,51.80%,33.30%,48.30%,32.00%,64.40%,68.00%,88.90%,12.5,17,0.278,0.332,0.451,0.332,105,1.5,3.6
273,22.70%,10.30%,0.206,2.5,19.20%,35.50%,45.30%,11.50%,12.80%,20.80%,51.10%,28.10%,42.50%,24.40%,59.80%,61.80%,86.30%,5.5,10,0.232,0.325,0.438,0.332,106,-1.9,1.5
593,18.90%,10.10%,0.186,3,20.40%,44.10%,35.50%,8.80%,15.50%,13.70%,54.40%,31.90%,46.40%,30.70%,65.20%,64.70%,87.80%,18.3,23,0.249,0.329,0.435,0.331,107,-5.3,3.9
226,28.30%,14.60%,0.174,2.9,19.70%,53.30%,27.00%,6.10%,21.20%,24.40%,44.10%,31.50%,37.10%,15.40%,58.30%,48.00%,81.10%,7.5,7,0.228,0.348,0.402,0.331,107,-1.2,1.6
385,22.30%,7.30%,0.124,1.4,18.50%,41.90%,39.60%,7.50%,8.40%,12.60%,57.80%,29.60%,46.90%,31.70%,64.70%,64.70%,84.90%,6.4,9,0.288,0.34,0.412,0.331,95,-4.9,1.2
118,14.40%,11.90%,0.14,2.7,23.80%,48.80%,27.40%,8.70%,13.00%,19.10%,51.20%,29.80%,47.10%,30.80%,67.50%,62.20%,89.50%,0.8,3,0.26,0.364,0.4,0.331,106,0.6,0.6
428,22.70%,7.90%,0.124,2.4,21.80%,43.90%,34.40%,6.10%,8.20%,14.00%,50.00%,36.00%,43.60%,26.80%,60.10%,51.40%,90.20%,15.3,8,0.274,0.349,0.397,0.331,109,-3.1,3.2
207,23.70%,9.20%,0.179,2.5,22.20%,36.30%,41.50%,8.90%,8.90%,15.30%,55.50%,29.20%,50.40%,31.10%,71.00%,76.30%,79.90%,-1,5,0.255,0.33,0.435,0.33,92,0.6,0.4
513,8.00%,2.90%,0.146,1.6,20.10%,45.60%,34.30%,13.20%,9.20%,22.00%,50.20%,27.80%,52.20%,35.00%,69.40%,71.90%,92.40%,13.5,14,0.287,0.322,0.433,0.33,101,-6.5,2.5
399,25.10%,17.00%,0.148,1.1,19.30%,37.30%,43.40%,12.10%,11.10%,17.10%,49.60%,33.30%,42.50%,20.90%,65.30%,44.10%,81.20%,3.4,11,0.225,0.358,0.372,0.33,112,-4.1,2
327,30.00%,10.10%,0.185,1.2,21.80%,40.80%,37.40%,7.70%,18.50%,10.70%,59.00%,30.30%,48.50%,28.30%,70.40%,33.90%,80.40%,-0.5,12,0.214,0.335,0.399,0.33,98,-0.5,0.9
275,26.50%,10.50%,0.208,0.6,13.50%,35.30%,51.20%,8.00%,13.80%,15.90%,52.40%,31.80%,43.20%,25.80%,58.70%,49.30%,86.90%,5.6,12,0.233,0.32,0.442,0.33,109,-0.6,1.7
552,13.40%,6.30%,0.183,1.1,18.80%,38.50%,42.70%,9.70%,9.70%,16.90%,48.40%,34.70%,49.10%,33.60%,68.50%,75.50%,91.40%,7.8,18,0.27,0.32,0.452,0.329,95,-6.9,1.5
382,21.20%,5.50%,0.237,1.2,14.50%,40.90%,44.60%,10.60%,17.10%,15.60%,48.20%,36.20%,55.30%,42.30%,71.40%,70.70%,82.60%,-6.8,21,0.243,0.291,0.48,0.329,110,0.7,1
427,27.40%,6.30%,0.18,6.1,17.90%,41.80%,40.40%,14.20%,12.40%,20.60%,50.40%,29.10%,54.30%,42.10%,68.10%,48.60%,77.70%,17,14,0.269,0.315,0.449,0.329,88,1.5,2.7
569,6.70%,3.30%,0.153,0.7,17.70%,35.40%,46.90%,4.20%,6.80%,12.70%,62.60%,24.70%,56.90%,42.80%,70.60%,82.60%,91.60%,11.6,16,0.292,0.322,0.445,0.329,96,-10.8,1.6
499,19.00%,3.40%,0.227,2.4,19.70%,33.30%,47.00%,10.60%,15.10%,16.50%,45.40%,38.10%,58.70%,48.60%,73.40%,70.70%,89.40%,5.7,27,0.268,0.297,0.495,0.329,103,-3.6,2.1
209,37.30%,18.20%,0.16,0.6,25.00%,52.20%,22.80%,4.80%,33.30%,8.70%,58.70%,32.60%,37.00%,17.00%,57.20%,39.50%,72.10%,4.7,7,0.213,0.359,0.373,0.329,106,-2.1,1.1
526,12.00%,4.00%,0.141,1.9,20.50%,46.60%,32.90%,12.50%,9.00%,14.60%,55.70%,29.70%,49.20%,37.80%,61.90%,79.80%,92.40%,16.1,13,0.292,0.323,0.433,0.329,106,-2.5,3.7
329,23.10%,8.20%,0.18,1.4,21.00%,35.20%,43.80%,7.30%,11.50%,14.40%,52.50%,33.20%,52.70%,36.90%,70.60%,52.00%,88.00%,14.4,11,0.252,0.319,0.432,0.329,113,-2.2,2.9
229,27.50%,10.00%,0.219,1.4,21.60%,34.50%,43.90%,16.40%,18.00%,17.00%,57.50%,25.50%,44.80%,28.30%,63.00%,47.80%,85.60%,-1.6,11,0.229,0.311,0.448,0.329,111,-3.2,0.6
403,25.60%,12.20%,0.161,1.2,25.50%,40.50%,34.00%,2.40%,17.90%,16.20%,50.20%,33.60%,49.10%,34.50%,68.00%,60.80%,79.00%,6,15,0.248,0.345,0.409,0.328,107,-2.6,2
147,16.30%,14.30%,0.164,1.6,15.50%,30.90%,53.60%,11.50%,7.70%,21.20%,44.40%,34.30%,48.60%,37.50%,63.30%,80.00%,94.70%,3.3,4,0.23,0.352,0.393,0.328,91,-1.1,0.5
305,16.70%,5.20%,0.161,1.3,22.80%,38.40%,38.80%,12.60%,10.30%,22.80%,50.40%,26.80%,46.60%,30.80%,62.10%,65.50%,89.40%,5.5,9,0.263,0.325,0.423,0.328,95,-2.7,1.1
190,26.80%,6.80%,0.173,3.4,19.70%,50.80%,29.50%,2.80%,16.70%,24.40%,40.70%,35.00%,57.80%,39.00%,78.10%,54.90%,75.70%,-4,6,0.266,0.326,0.439,0.328,102,0,0.3
190,26.80%,8.90%,0.153,0.7,20.00%,45.80%,34.20%,7.30%,12.20%,16.70%,53.30%,30.00%,45.80%,32.20%,59.60%,56.90%,89.70%,4.2,5,0.265,0.337,0.418,0.327,102,-1,1
434,24.00%,14.10%,0.142,3.3,23.80%,46.40%,29.80%,2.50%,11.40%,12.00%,54.70%,33.30%,39.30%,21.40%,57.90%,51.50%,82.40%,9.2,9,0.243,0.352,0.384,0.327,104,-4,2.3
535,9.70%,4.50%,0.125,2,20.00%,47.30%,32.70%,7.40%,8.70%,14.60%,58.70%,26.60%,57.50%,42.10%,74.30%,80.70%,93.00%,8.6,13,0.3,0.331,0.425,0.327,92,-3.3,1.8
227,11.00%,10.60%,0.089,2.6,22.70%,44.30%,33.00%,1.70%,5.20%,15.80%,58.20%,26.00%,41.60%,24.00%,58.20%,72.30%,96.90%,4.3,3,0.277,0.357,0.366,0.327,103,0.2,1.3
535,18.10%,9.70%,0.204,2,16.70%,36.10%,47.20%,8.00%,14.90%,15.20%,53.10%,31.70%,42.00%,28.90%,56.30%,69.20%,93.20%,10.2,26,0.232,0.32,0.437,0.327,106,-3.2,3
485,6.00%,6.60%,0.088,1,21.00%,46.00%,33.10%,11.50%,5.00%,15.80%,61.90%,22.20%,53.60%,34.90%,71.00%,85.90%,92.90%,18.7,7,0.304,0.349,0.392,0.326,97,-7.9,2.5
183,9.80%,6.60%,0.17,0.9,21.60%,50.70%,27.70%,7.30%,14.60%,21.60%,56.90%,21.60%,43.20%,29.70%,58.90%,83.50%,94.90%,-3.5,6,0.273,0.318,0.442,0.326,94,-1.5,0
492,20.10%,11.00%,0.17,1.9,21.50%,34.40%,44.10%,9.60%,13.70%,14.80%,49.70%,35.50%,42.80%,29.80%,58.80%,68.70%,89.90%,-1.9,20,0.242,0.335,0.413,0.326,103,-3.6,1.3
456,19.10%,9.00%,0.155,2.2,16.30%,40.80%,42.90%,8.80%,9.50%,17.60%,48.90%,33.50%,45.20%,33.40%,59.70%,64.00%,91.00%,-9.8,13,0.251,0.331,0.406,0.326,102,-5.7,0
144,18.80%,9.70%,0.155,0.4,15.50%,40.80%,43.70%,4.40%,8.90%,14.60%,58.30%,27.20%,43.10%,30.60%,58.80%,61.20%,88.70%,-0.7,4,0.256,0.326,0.411,0.326,92,0.4,0.3
225,26.70%,14.70%,0.161,2.7,25.80%,37.10%,37.10%,15.20%,15.20%,15.60%,53.90%,30.50%,41.90%,23.10%,61.50%,53.20%,82.30%,5.1,7,0.22,0.35,0.382,0.326,100,-0.5,1.2
205,26.30%,14.60%,0.217,1.4,23.70%,33.30%,43.00%,6.10%,20.40%,19.00%,46.30%,34.70%,47.20%,25.60%,68.10%,51.90%,78.70%,8.8,10,0.229,0.338,0.446,0.326,100,0.9,1.7
123,28.50%,8.10%,0.241,1.9,15.60%,27.30%,57.10%,9.10%,15.90%,14.10%,57.70%,28.20%,46.60%,30.10%,61.20%,54.60%,78.00%,3.6,7,0.232,0.293,0.473,0.325,96,-0.9,0.6
325,15.40%,5.50%,0.193,2,20.90%,36.80%,42.30%,18.70%,11.20%,19.80%,46.60%,33.60%,49.20%,34.20%,67.50%,65.10%,88.50%,-0.6,12,0.263,0.311,0.457,0.325,105,-3.1,0.9
182,21.40%,17.60%,0.127,1.4,24.50%,38.20%,37.30%,7.90%,7.90%,18.20%,48.20%,33.60%,41.40%,20.40%,61.20%,48.60%,84.40%,7.4,3,0.225,0.369,0.352,0.325,91,-0.4,1.1
482,27.00%,8.30%,0.212,1.1,16.50%,43.50%,40.00%,14.50%,17.70%,17.60%,45.80%,36.50%,46.30%,34.00%,60.90%,62.10%,82.70%,12.6,22,0.247,0.308,0.459,0.325,102,-4,2.5
157,21.70%,8.30%,0.196,0.7,23.90%,35.80%,40.40%,9.10%,15.90%,18.40%,52.30%,29.40%,45.40%,31.30%,61.80%,66.30%,85.60%,1.4,7,0.245,0.312,0.441,0.325,96,-0.6,0.5
391,14.10%,13.00%,0.169,1.7,17.40%,41.60%,40.90%,18.30%,8.70%,18.70%,47.40%,33.90%,38.60%,21.00%,53.60%,75.30%,90.10%,4.1,10,0.242,0.341,0.411,0.325,95,-4.4,1
147,17.00%,12.90%,0.144,2.6,17.00%,45.00%,38.00%,7.90%,10.50%,19.60%,51.00%,29.40%,43.20%,24.00%,61.70%,52.30%,87.90%,2.4,4,0.24,0.345,0.384,0.325,98,-1,0.6
100,16.00%,7.00%,0.18,2.2,21.30%,33.30%,45.30%,14.70%,5.90%,18.40%,55.30%,26.30%,47.00%,26.30%,65.60%,54.40%,85.90%,-1.2,2,0.258,0.313,0.438,0.324,91,-0.2,0.1
503,9.10%,6.80%,0.095,1,21.80%,44.40%,33.70%,11.50%,2.20%,16.70%,57.50%,25.90%,42.40%,24.00%,58.40%,79.40%,93.90%,4.2,3,0.288,0.345,0.383,0.324,106,-5.6,2
476,17.00%,10.50%,0.17,3.6,19.20%,47.30%,33.40%,13.30%,15.90%,25.00%,47.90%,27.10%,43.60%,22.60%,62.40%,57.90%,88.20%,9.9,18,0.237,0.324,0.408,0.324,100,-2.3,2.4
443,26.00%,13.10%,0.175,3.5,19.40%,42.50%,38.10%,10.80%,14.70%,22.40%,41.80%,35.80%,40.10%,25.20%,57.00%,61.80%,82.10%,-6.3,15,0.225,0.327,0.401,0.324,110,-3.2,0.9
126,33.30%,19.00%,0.19,2.6,21.10%,42.10%,36.80%,14.30%,23.80%,15.50%,51.70%,32.80%,30.10%,16.10%,43.10%,37.20%,85.50%,1.3,5,0.18,0.349,0.37,0.324,103,0.4,0.7
365,22.70%,13.70%,0.166,2.2,23.70%,48.20%,28.10%,12.70%,20.60%,16.40%,53.30%,30.20%,40.10%,22.20%,57.60%,59.30%,84.10%,7,13,0.221,0.343,0.388,0.324,100,-1.3,1.8
230,32.20%,13.50%,0.111,1.9,27.20%,31.20%,41.60%,9.60%,5.80%,15.20%,50.40%,34.40%,44.30%,28.30%,63.60%,57.50%,78.60%,-4.8,3,0.253,0.352,0.364,0.324,92,-0.4,0
227,30.40%,10.10%,0.21,1.3,21.20%,31.10%,47.70%,4.80%,14.30%,15.00%,49.60%,35.30%,45.50%,28.00%,65.60%,46.70%,79.90%,1,9,0.225,0.31,0.435,0.324,100,0.1,0.9
253,23.70%,11.50%,0.158,2.8,20.40%,43.80%,35.80%,15.50%,15.50%,16.70%,51.90%,31.50%,44.70%,17.60%,67.90%,44.60%,80.50%,3.4,9,0.24,0.332,0.398,0.323,108,-1.4,1.3
445,13.50%,10.30%,0.118,3.2,23.40%,41.20%,35.40%,11.30%,5.20%,17.10%,59.60%,23.20%,38.90%,20.90%,55.10%,64.80%,91.70%,14.8,6,0.252,0.347,0.37,0.323,106,-1.8,3.2
317,20.50%,7.90%,0.18,1.7,17.80%,45.80%,36.40%,3.70%,12.20%,14.60%,47.80%,37.60%,50.90%,29.00%,71.30%,50.30%,87.10%,1.8,10,0.26,0.32,0.439,0.323,84,-1.7,0.4
248,15.70%,9.70%,0.16,1.3,15.90%,39.20%,44.90%,6.30%,8.90%,15.90%,61.50%,22.50%,43.30%,26.30%,60.50%,71.30%,89.00%,4.4,7,0.249,0.327,0.408,0.323,96,0.3,1.2
243,21.00%,5.80%,0.2,2.4,20.60%,36.60%,42.90%,16.00%,12.00%,20.00%,50.30%,29.70%,52.50%,39.00%,67.90%,64.30%,87.80%,8.6,9,0.249,0.3,0.449,0.323,106,-1.1,1.8
363,18.50%,9.10%,0.108,2.6,20.00%,54.90%,25.10%,12.50%,10.90%,21.50%,51.20%,27.30%,43.60%,27.10%,60.70%,59.50%,86.70%,10.4,7,0.271,0.343,0.378,0.323,105,-0.2,2.4
359,22.00%,5.60%,0.145,3.2,23.20%,34.60%,42.10%,7.50%,8.40%,14.10%,51.80%,34.10%,50.40%,35.10%,67.10%,66.20%,86.60%,12.5,9,0.279,0.327,0.424,0.323,94,-1.4,2
399,14.50%,9.50%,0.195,2.6,17.00%,41.50%,41.50%,13.10%,14.80%,19.30%,51.40%,29.40%,43.00%,29.70%,58.70%,74.30%,90.80%,2.9,18,0.241,0.323,0.436,0.323,103,-1.8,1.6
